BuildingID,MeterID,MeterName,MeterUnits,EnergyType,EnergyCost,EnergyReading,StartDate,EndDate
1796185,8935,10930261,Therm,,12.75,,2013-05-12T00:00:00,2013-06-12T00:00:00
1796185,8935,10930261,Therm,,255.17,299,2012-12-11T00:00:00,2013-01-14T00:00:00
1796185,8935,10930261,Therm,,88.66,111,2012-10-11T00:00:00,2012-11-11T00:00:00
1796185,8935,10930261,Therm,,11.94,,2012-05-14T00:00:00,2012-06-12T00:00:00
1796185,8935,10930261,Therm,,386.08,473,2014-01-12T00:00:00,2014-02-12T00:00:00
1796185,8935,10930261,Therm,,11.94,,2013-06-12T00:00:00,2013-07-11T00:00:00
1796185,8935,10930261,Therm,,286.79,357,2013-01-14T00:00:00,2013-02-11T00:00:00
1796185,8935,10930261,Therm,,165.48,179,2014-03-13T00:00:00,2014-04-10T00:00:00
1796185,8935,10930261,Therm,,166.71,217,2013-11-11T00:00:00,2013-12-10T00:00:00
1796185,8935,10930261,Therm,,71.27,86,2013-04-10T00:00:00,2013-05-12T00:00:00
1796185,8935,10930261,Therm,,169.03,187,2012-11-11T00:00:00,2012-12-11T00:00:00
1796185,8935,10930261,Therm,,19.22,12,2012-09-12T00:00:00,2012-10-11T00:00:00
1796185,8935,10930261,Therm,,36.42,45,2012-04-12T00:00:00,2012-05-14T00:00:00
1796185,8935,10930261,Therm,,320.12,417,2013-12-10T00:00:00,2014-01-12T00:00:00
1796185,8935,10930261,Therm,,13.57,,2012-06-12T00:00:00,2012-07-15T00:00:00
1796185,8935,10930261,Therm,,292.08,334,2014-02-12T00:00:00,2014-03-13T00:00:00
1796185,8935,10930261,Therm,,12.35,,2013-09-12T00:00:00,2013-10-12T00:00:00
1796185,8935,10930261,Therm,,13.57,,2013-07-11T00:00:00,2013-08-13T00:00:00
1796185,8935,10930261,Therm,,240.67,293,2013-02-11T00:00:00,2013-03-12T00:00:00
1796185,8935,10930261,Therm,,11.94,,2012-07-15T00:00:00,2012-08-13T00:00:00
1796185,8935,10930261,Therm,,60.3,78,2013-10-12T00:00:00,2013-11-11T00:00:00
1796185,8935,10930261,Therm,,12.35,,2013-08-13T00:00:00,2013-09-12T00:00:00
1796185,8935,10930261,Therm,,201.04,249,2013-03-12T00:00:00,2013-04-10T00:00:00
1796185,8935,10930261,Therm,,12.35,,2012-08-13T00:00:00,2012-09-12T00:00:00
1796185,8906,708544541,kWh,,134.05,989,2014-03-13T00:00:00,2014-04-10T00:00:00
1796185,8906,708544541,kWh,,159.3,1186,2014-01-13T00:00:00,2014-02-13T00:00:00
1796185,8906,708544541,kWh,,225.05,1612,2013-08-13T00:00:00,2013-09-11T00:00:00
1796185,8906,708544541,kWh,,168.88,1298,2013-01-14T00:00:00,2013-02-12T00:00:00
1796185,8906,708544541,kWh,,210.6,1457,2012-08-13T00:00:00,2012-09-13T00:00:00
1796185,8906,708544541,kWh,,305.17,2161,2012-06-13T00:00:00,2012-07-16T00:00:00
1796185,8906,708544541,kWh,,125.06,914,2014-02-13T00:00:00,2014-03-13T00:00:00
1796185,8906,708544541,kWh,,188.47,1366,2013-09-11T00:00:00,2013-10-14T00:00:00
1796185,8906,708544541,kWh,,160.64,1228,2013-02-12T00:00:00,2013-03-13T00:00:00
1796185,8906,708544541,kWh,,181.86,1297,2012-09-13T00:00:00,2012-10-12T00:00:00
1796185,8906,708544541,kWh,,141.81,1068,2013-10-14T00:00:00,2013-11-12T00:00:00
1796185,8906,708544541,kWh,,207.65,1552,2013-05-13T00:00:00,2013-06-13T00:00:00
1796185,8906,708544541,kWh,,195.49,1524,2013-03-13T00:00:00,2013-04-11T00:00:00
1796185,8906,708544541,kWh,,173.31,1292,2012-10-12T00:00:00,2012-11-12T00:00:00
1796185,8906,708544541,kWh,,155.35,1156,2013-12-11T00:00:00,2014-01-13T00:00:00
1796185,8906,708544541,kWh,,234.62,1673,2013-07-12T00:00:00,2013-08-13T00:00:00
1796185,8906,708544541,kWh,,179.28,1347,2012-12-12T00:00:00,2013-01-14T00:00:00
1796185,8906,708544541,kWh,,264.3,1874,2012-07-16T00:00:00,2012-08-13T00:00:00
1796185,8906,708544541,kWh,,212.82,1557,2012-05-14T00:00:00,2012-06-13T00:00:00
1796185,8906,708544541,kWh,,146.52,1108,2013-11-12T00:00:00,2013-12-11T00:00:00
1796185,8906,708544541,kWh,,211.84,1510,2013-06-13T00:00:00,2013-07-12T00:00:00
1796185,8906,708544541,kWh,,222.46,1739,2013-04-11T00:00:00,2013-05-13T00:00:00
1796185,8906,708544541,kWh,,173.12,1295,2012-11-12T00:00:00,2012-12-12T00:00:00
1796185,8906,708544541,kWh,,209.31,1590,2012-04-13T00:00:00,2012-05-14T00:00:00
1796186,8932,101026002,Therm,,2.88,,2014-08-29T00:00:00,2014-09-05T00:00:00
1796186,8932,101026002,Therm,,11.11,,2013-09-06T00:00:00,2013-10-03T00:00:00
1796186,8932,101026002,Therm,,18.53,12,2013-04-03T00:00:00,2013-05-03T00:00:00
1796186,8932,101026002,Therm,,65.83,78,2014-04-02T00:00:00,2014-05-03T00:00:00
1796186,8932,101026002,Therm,,132.85,170,2014-11-04T00:00:00,2014-12-03T00:00:00
1796186,8932,101026002,Therm,,12.85,3,2014-09-05T00:00:00,2014-10-02T00:00:00
1796186,8932,101026002,Therm,,15.2,3,2014-05-03T00:00:00,2014-06-04T00:00:00
1796186,8932,101026002,Therm,,362.91,430,2015-02-05T00:00:00,2015-03-04T00:00:00
1796186,8932,101026002,Therm,,13.16,,2014-07-28T00:00:00,2014-08-29T00:00:00
1796186,8932,101026002,Therm,,141.32,166,2014-03-05T00:00:00,2014-04-02T00:00:00
1796186,8932,101026002,Therm,,220.62,270,2014-01-03T00:00:00,2014-02-04T00:00:00
